,count,mean,std,min,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,max,skewness,kurtosis,unique,missing,IQR,OL
skill_fk_accuracy,17589.0,42.71891523111035,17.436137603403388,3.0,13.0,18.0,25.0,28.0,31.0,33.0,35.0,37.0,39.0,41.0,43.0,46.0,49.0,53.0,56.0,60.0,63.0,67.0,72.0,94.0,0.11021220186399622,-0.7105563365687071,90,181,25.0,37.5
skill_long_passing,17258.0,52.434349287287056,15.466829505710384,8.0,23.0,28.0,33.0,38.0,42.0,46.0,49.0,52.0,54.0,56.0,58.0,59.0,61.0,62.0,64.0,66.0,68.0,70.0,74.0,93.0,-0.5582256732216963,-0.45302638037803256,85,512,22.0,33.0
skill_ball_control,17058.0,58.093211396412244,16.932165690477472,5.0,19.0,25.0,42.0,49.0,53.0,56.0,58.0,60.0,61.0,63.0,64.0,65.0,66.0,68.0,69.0,70.0,72.0,75.0,78.0,96.0,-1.21407679681477,0.8471818747100017,90,712,16.0,24.0
movement_acceleration,17064.0,64.30209798406001,15.013755799482185,12.0,34.0,42.0,48.0,53.0,56.0,60.0,62.0,64.0,66.0,67.0,68.0,70.0,71.0,73.0,75.0,76.0,78.0,81.0,85.0,97.0,-0.7875938372493934,0.38667459920687053,86,706,19.0,28.5
movement_sprint_speed,17104.0,64.42674228250702,14.767187426179337,12.0,34.0,43.0,49.0,53.0,56.0,60.0,62.0,64.0,66.0,67.0,68.0,70.0,71.0,73.0,75.0,76.0,78.0,81.0,85.0,96.0,-0.795209927400719,0.45387588923110567,85,666,19.0,28.5
movement_agility,17299.0,63.371986820047404,14.81771396195147,14.0,34.0,40.0,47.0,52.0,55.0,58.0,60.0,62.0,64.0,66.0,67.0,69.0,71.0,72.0,74.0,76.0,78.0,80.0,85.0,96.0,-0.5819700019222002,-0.10030245120452186,81,471,19.0,28.5
movement_reactions,17171.0,61.82412206627453,9.119503150900698,30.0,47.0,50.0,52.0,54.0,56.0,57.0,58.0,60.0,61.0,62.0,63.0,64.0,65.0,67.0,68.0,70.0,71.0,74.0,77.0,96.0,-0.0885108635613921,-0.010831029829511785,67,599,12.0,18.0
movement_balance,17480.0,63.87900457665904,14.193660062325426,16.0,36.0,43.0,49.0,53.0,56.0,58.0,60.0,62.0,64.0,66.0,67.0,69.0,71.0,72.0,74.0,76.0,78.0,80.0,84.0,99.0,-0.5729971094817304,0.06222100900086058,82,290,18.0,27.0
power_shot_power,17433.0,55.26971835025526,17.307486609015655,3.0,21.0,25.0,35.0,41.0,45.0,49.0,52.0,55.0,57.0,59.0,61.0,63.0,65.0,66.0,68.0,70.0,72.0,75.0,78.0,95.0,-0.6560520913454619,-0.3758005967183,91,337,23.0,34.5
power_jumping,17383.0,65.06397054593569,11.888168508975937,15.0,43.0,50.0,54.0,56.0,58.0,60.0,61.0,63.0,64.0,66.0,67.0,69.0,70.0,72.0,73.0,75.0,77.0,80.0,83.0,95.0,-0.4448299016313406,0.3101943657346804,74,387,15.0,22.5
power_stamina,17071.0,62.937613496573135,16.102259187142977,12.0,29.0,36.0,46.0,52.0,55.0,59.0,61.0,63.0,65.0,66.0,68.0,69.0,71.0,72.0,74.0,76.0,78.0,80.0,84.0,96.0,-0.8798095544247462,0.36162266177909386,85,699,19.0,28.5
power_strength,17271.0,65.29940362457299,12.63132929138801,17.0,41.0,48.0,52.0,56.0,58.0,60.0,62.0,63.0,65.0,66.0,68.0,69.0,71.0,73.0,74.0,76.0,78.0,80.0,84.0,97.0,-0.4704059771456865,0.06243307124663122,74,499,16.0,24.0
power_long_shots,17422.0,46.80673860635977,19.33574053699461,3.0,12.0,17.0,22.0,27.0,32.0,36.0,41.0,44.0,48.0,51.0,53.0,56.0,58.0,60.0,62.0,64.0,67.0,69.0,73.0,94.0,-0.4030960153910717,-0.856813666430265,92,348,30.0,45.0
mentality_aggression,17415.0,55.57272466264714,17.45926306538144,11.0,23.0,29.0,34.0,39.0,43.0,47.0,50.0,53.0,56.0,58.0,60.0,63.0,65.0,67.0,69.0,71.0,74.0,76.0,80.0,95.0,-0.40531151758250983,-0.6623040453375251,85,355,26.0,39.0
mentality_interceptions,17295.0,46.26227233304423,20.800923171940607,5.0,13.0,17.0,20.0,23.0,25.0,29.0,35.0,41.0,47.0,51.0,55.0,57.0,60.0,62.0,64.0,66.0,68.0,71.0,75.0,92.0,-0.22483080438143166,-1.2897986406849535,87,475,39.0,58.5
mentality_positioning,17279.0,49.59569419526593,19.67212951583858,2.0,11.0,16.0,25.0,30.0,37.0,43.0,47.0,50.0,52.0,55.0,57.0,59.0,60.0,62.0,64.0,66.0,68.0,71.0,75.0,95.0,-0.6782882629341519,-0.47190576603263734,94,491,27.0,40.5
mentality_vision,17306.0,53.119149427944066,14.226313594553822,10.0,29.0,33.0,36.0,40.0,43.0,46.0,48.0,51.0,53.0,55.0,56.0,58.0,60.0,62.0,64.0,66.0,68.0,71.0,74.0,94.0,-0.3197634900153255,-0.3871384523964849,84,464,21.0,31.5
mentality_penalties,17605.0,48.51740982675376,15.706207469420743,5.0,18.200000000000045,25.0,33.0,36.0,39.0,41.0,43.0,45.0,48.0,49.0,52.0,54.0,56.0,58.0,60.0,62.0,65.0,68.0,72.0,92.0,-0.3532427337338219,-0.3486957855063717,87,165,21.0,31.5
mentality_composure,17333.0,58.55662608896325,11.443238518639266,3.0,39.0,43.0,47.0,49.0,51.0,53.0,55.0,56.0,58.0,59.0,61.0,62.0,64.0,65.0,67.0,68.0,70.0,73.0,76.0,96.0,-0.3501840064713727,0.16427318100655253,83,437,16.0,24.0
defending_marking,17181.0,46.84640009312613,19.9802545862687,3.0,13.0,17.0,21.0,25.0,29.0,33.0,38.0,42.0,48.0,52.0,55.0,58.0,60.0,62.0,64.0,65.0,68.0,70.0,74.0,94.0,-0.31909561428511335,-1.1242173651035259,92,589,35.0,52.5
